PA,SZ,AG,Sex,TOD,Pop,Time
Bukit Merah,Bukit Ho Swee,65_to_69,Males,HDB 1- and 2-Room Flats,180,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Males,HDB 3-Room Flats,160,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Males,HDB 4-Room Flats,90,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Males,HDB 5-Room and Executive Flats,60,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Males,Landed Properties,0,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Males,Condominiums and Other Apartments,10,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Males,Others,0,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Females,HDB 1- and 2-Room Flats,150,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Females,HDB 3-Room Flats,220,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Females,HDB 4-Room Flats,110,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Females,HDB 5-Room and Executive Flats,60,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Females,Landed Properties,0,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Females,Condominiums and Other Apartments,20,2015
Bukit Merah,Bukit Ho Swee,65_to_69,Females,Others,0,2015
Bukit Merah,Bukit Ho Swee,70_to_74,Males,HDB 1- and 2-Room Flats,110,2015
Bukit Merah,Bukit Ho Swee,70_to_74,Males,HDB 3-Room Flats,130,2015
Bukit Merah,Bukit Ho Swee,70_to_74,Males,HDB 4-Room Flats,60,2015
Bukit Merah,Bukit Ho Swee,70_to_74,Males,HDB 5-Room and Executive Flats,40,2015
Bukit Merah,Bukit Ho Swee,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Bukit Merah,Bukit Ho Swee,70_to_74,Males,Landed Properties,0,2015
Bukit Merah,Bukit Ho Swee,70_to_74,Males,Condominiums and Other Apartments,10,2015
Bukit Merah,Bukit Ho Swee,70_to_74,Males,Others,0,2015
